log,TrainLoss,TrainLossRelative,TestLoss,TestLossRelative,TestLoss2,TestLoss2Relative,TestLoss3,TestLoss3Relative
biochemical_random_NDCN_D7.txt,0.253815,0.046129,0.35199,0.098319,0.22897,0.044311,136.154678,42.337734
biochemical_random_NDCN_D8.txt,0.26861,0.049625,0.49865,0.135589,0.493181,0.098421,148.313843,45.696377
biochemical_random_NDCN_D9.txt,0.28806,0.055657,0.352473,0.09981,0.237751,0.049114,122.993774,38.758419
biochemical_random_NDCN__mean,0.2883645,0.0534156,0.3647789,0.1012826,0.3238589,0.0578497,342.0530479,107.4552299
biochemical_random_NDCN__std,0.022798867,0.004236906,0.053334755,0.014640599,0.077157148,0.014685102,458.6610631,145.8059457
biochemical_random_NDCN__mean,0.288,0.053,0.365,0.101,0.324,0.058,342.053,107.455
biochemical_random_NDCN__std,0.023,0.004,0.053,0.015,0.077,0.015,458.661,145.806
biochemical_random_NDCN__mean_std,0.288+0.023,0.053+0.004,0.365+0.053,0.101+0.015,0.324+0.077,0.058+0.015,342.053+458.661,107.455+145.806
,,,,,,,,
biochemical_small_world_NDCN_D0.txt,0.270098,0.047048,0.32245,0.08334,0.293942,0.052326,179.926224,52.541855
biochemical_small_world_NDCN_D1.txt,0.289579,0.047775,0.41223,0.106594,0.284803,0.05064,501.391785,146.063995
biochemical_small_world_NDCN_D2.txt,0.30031,0.048598,0.487668,0.126524,0.265059,0.044171,246.612198,71.757294
biochemical_small_world_NDCN_D3.txt,0.272952,0.044218,0.404409,0.105404,0.21598,0.04444,1084.389282,318.886169
biochemical_small_world_NDCN_D4.txt,0.273311,0.046174,0.380752,0.099048,0.238336,0.044796,112.216866,32.931629
biochemical_small_world_NDCN_D5.txt,0.279779,0.048622,0.314939,0.082008,0.229502,0.041874,243.157974,71.374428
biochemical_small_world_NDCN_D6.txt,0.258211,0.043736,0.472229,0.120917,0.321824,0.056123,954.622192,277.474487
biochemical_small_world_NDCN_D7.txt,0.253182,0.042632,0.27008,0.07119,0.222918,0.042855,99.350632,29.122665
biochemical_small_world_NDCN_D8.txt,0.289863,0.049718,0.315298,0.08176,0.324007,0.05464,1534.129883,447.102997
biochemical_small_world_NDCN_D9.txt,0.27748,0.049849,0.393665,0.103253,0.212213,0.041058,198.503754,58.481884
biochemical_small_world_NDCN__mean,0.2764765,0.046837,0.377372,0.0980038,0.2608584,0.0472923,515.430079,150.5737403
biochemical_small_world_NDCN__std,0.013675573,0.002432714,0.067575946,0.017173669,0.040866203,0.005296593,474.3051694,138.4010711
biochemical_small_world_NDCN__mean,0.276,0.047,0.377,0.098,0.261,0.047,515.43,150.574
biochemical_small_world_NDCN__std,0.014,0.002,0.068,0.017,0.041,0.005,474.305,138.401
